month,country,net_flow_musd,table
2023-03,Morocco,581,slt2_us_lt_total_net
2023-03,Netherlands,-3110,slt1_for_lt_total_net
2023-03,Netherlands,-2465,slt2_us_lt_total_net
2023-03,New Zealand,-730,slt1_for_lt_total_net
2023-03,New Zealand,89,slt2_us_lt_total_net
2023-03,Norway,1561,slt1_for_lt_total_net
2023-03,Norway,72,slt2_us_lt_total_net
2023-03,Of Which: Asset-Backed Securities,32388,slt1_for_lt_total_net
2023-03,Of Which: Asset-Backed Securities,-7589,slt2_us_lt_total_net
2023-03,Of Which: Depository Institutions,-5018,slt1_for_lt_total_net
2023-03,Of Which: Depository Institutions,13167,slt2_us_lt_total_net
2023-03,Of Which: Foreign Non-Official,155224,slt1_for_lt_total_net
2023-03,Of Which: Foreign Non-Official Asset-Backed Securities,18683,slt1_for_lt_total_net
2023-03,Of Which: Foreign Non-Official Depository Institutions,-4321,slt1_for_lt_total_net
2023-03,Of Which: Foreign Non-Official Fund Shares,2041,slt1_for_lt_total_net
2023-03,Of Which: Foreign Non-Official Non-Financial Organizations,82517,slt1_for_lt_total_net
2023-03,Of Which: Foreign Non-Official Other Financial Organizations,-26454,slt1_for_lt_total_net
2023-03,Of Which: Foreign Non-Official State & Local General Government,853,slt1_for_lt_total_net
2023-03,Of Which: Foreign Official,32045,slt1_for_lt_total_net
2023-03,Of Which: Foreign Official Asset-Backed Securities,13705,slt1_for_lt_total_net
2023-03,Of Which: Foreign Official Depository Institutions,-697,slt1_for_lt_total_net
2023-03,Of Which: Foreign Official Fund Shares,-1882,slt1_for_lt_total_net
2023-03,Of Which: Foreign Official Non-Financial Organizations,19480,slt1_for_lt_total_net
2023-03,Of Which: Foreign Official Other Financial Organizations,-6538,slt1_for_lt_total_net
2023-03,Of Which: Foreign Official State & Local General Government,67,slt1_for_lt_total_net
2023-03,Of Which: Fund Shares,159,slt1_for_lt_total_net
2023-03,Of Which: Fund Shares,-5826,slt2_us_lt_total_net
2023-03,Of Which: Non-Financial Organizations,101997,slt1_for_lt_total_net
2023-03,Of Which: Non-Financial Organizations,-6240,slt2_us_lt_total_net
2023-03,Of Which: Other Financial Organizations,-32992,slt1_for_lt_total_net
2023-03,Of Which: Other Financial Organizations,-38661,slt2_us_lt_total_net
2023-03,Of Which: State & Local General Government,920,slt1_for_lt_total_net
2023-03,Pakistan,0,slt1_for_lt_total_net
2023-03,Pakistan,-6,slt2_us_lt_total_net
2023-03,Panama,511,slt1_for_lt_total_net
2023-03,Panama,787,slt2_us_lt_total_net
2023-03,Peru,170,slt1_for_lt_total_net
2023-03,Peru,-530,slt2_us_lt_total_net
2023-03,Philippines,-168,slt1_for_lt_total_net
2023-03,Philippines,-531,slt2_us_lt_total_net
2023-03,Poland,-150,slt1_for_lt_total_net
2023-03,Poland,36,slt2_us_lt_total_net
2023-03,Portugal,-409,slt1_for_lt_total_net
2023-03,Portugal,-83,slt2_us_lt_total_net
2023-03,Romania,-173,slt1_for_lt_total_net
2023-03,Romania,-313,slt2_us_lt_total_net
2023-03,Russia,33,slt1_for_lt_total_net
2023-03,Russia,-226,slt2_us_lt_total_net
2023-03,Saint Kitts and Nevis,-26,slt1_for_lt_total_net
2023-03,Saudi Arabia,2037,slt1_for_lt_total_net
2023-03,Serbia,-134,slt1_for_lt_total_net
2023-03,Serbia,-67,slt2_us_lt_total_net
2023-03,Singapore,14101,slt1_for_lt_total_net
